GMFK;MOULAY ALI CHERIF AIRPORT;ERRACHIDIA;;MARROCOS;AFRICA
GMMN;AEROPORTO INTERNACIONAL MOHAMMED V;CASABLANCA;;MARROCOS;AFRICA
GMMX;MARRAKECH/MENARA;MARRAKECH/MENARA;;MARROCOS;AFRICA
GOOY;DACAR;DACAR;;SENEGAL;AFRICA
GQNN;NOUAKCHOTT INTERNATIONAL AIRPORT;;;MAURITANIA;AFRICA
GUCY;CONAKRY/GBESSIA;CONAKRY/GBESSIA;;GUINE;AFRICA
GVAC;AEROPORTO INTERNACIONAL AMÃ?LCAR CABRAL;ILHA DO SAL;;CABO VERDE;AFRICA
GVFM;FRANCISCO MENDES;FRANCISCO MENDES;;CABO VERDE;AFRICA
GVNP;CABO VERDE;CABO VERDE;;CABO VERDE;AFRICA
HAAB;BOLE INTERNATIONAL AIRPORT;;;ETIOPIA;AFRICA
HECA;CAIRO INTERNATIONAL AIRPORT;CAIRO;;EGITO;AFRICA
HKJK;JOMO KENYATTA INTERNATIONAL AIRPORT (FORMERLY NAIROBI INTERNATIONAL AIRPORT);NAIRÓBI;;QUENIA;AFRICA
KADW;ANDREWS AIR FORCE BASE;"CAMP SPRINGS/ANDREWS AFB;MD";;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KATL;HARTSFIELD JACKSON ATLANTA INTERNATIONAL AIRPORT;ATLANTA/INTL;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KAUS;AUSTIN BERGSTROM INTERNATIONAL AIRPORT;AUSTIN;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KBFI;BOEING FIELD/KING COUNTY INTERNATIONAL AIRPORT;SEATTLE BOEING F.INTL;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KBGR;BANGOR INTERNATIONAL AIRPORT;"BANGOR; MAINE";;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KBHM;BIRMINGHAM-SHUTTLESWORTH INTERNATIONAL AIRPORT;;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KBKV;HERNANDO COUNTY AIRPORT;;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KBNA;NASHVILLE INTERNATIONAL AIRPORT;"NASHVILLE; TENNESSEE";NI;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KBOS;LOGAN INTERNATIONAL AIRPORT;BOSTON;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KBWI;BALTIMORE-WASHINGTON INTERNATIONAL THURGOOD MARSHALL AIRPORT;;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KCHS;CHARLESTON INTERNATIONAL AIRPORT (CHARLESTON AIR FORCE BASE);CHARLESTON;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KCLE;CLEVELAND HOPKINS INTERNATIONAL AIRPORT;;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KCLT;CHARLOTTE/DOUGLAS INTERNATIONAL AIRPORT;CHARLOTTE DOUGLAS INTL;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KDAL;DALLAS LOVE FIELD;DALLAS;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KDEN;DENVER INTERNATIONAL AIRPORT (STAPLETON INTÂ´L);;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KDFW;DALLAS-FORT WORTH INTERNATIONAL AIRPORT;DALLAS/FORT WORTH;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KDHN;DOTHAN REGIONAL AIRPORT;DOTHAN;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KDOV;DOVER AIR FORCE BASE;DOVER;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KDTW;DETROIT METROPOLITAN WAYNE COUNTY AIRPORT;DETROIT;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KELP;EL PASO INTERNATIONAL AIRPORT;EL PASONTL NY;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KEWR;NEWARK LIBERTY INTERNATIONAL AIRPORT;NEWARK / INTL NJ;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KFFL;FAIRFIELD MUNICIPAL AIRPORT;;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KFLL;FORT LAUDERDALE-HOLLYWOOD INTERNATIONAL AIRPORT;FORT LAUDERDALE;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KGSO;PIEDMONT TRIAD INTERNATIONAL AIRPORT;PIEDMONT TRIAD INTL;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KGTF;GREAT FALLS INTERNATIONAL AIRPORT;GREAT FALLS;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KGWO;GREENWOOD-LEFLORE AIRPORT;"CARROLL COUNTY; MISSISSIPPI";;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KGYR;GOODYEAR MUNICIPAL AIRPORT;PHOENIX GOODYEAR;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KHOU;WILLIAM P. HOBBY AIRPORT;HOUSTON;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KHSV;HUNTSVILLE INTERNATIONAL AIRPORT (CARL T. JONES FIELD);HUNTSVILLE;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KIAB;MCCONNELL AIR FORCE BASE;WHICHITA;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KIAD;WASHINGTON DULLES INTERNATIONAL AIRPORT;WASHINGTON/DULLES INTL;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KIAH;GEORGE BUSH INTERCONTINENTAL AIRPORT;HOUSTON;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KILN;AIRBORNE AIRPARK;;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KIND;INDIANAPOLIS INTERNATIONAL AIRPORT;INDIANAPOLIS/INTL.IN;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
KJAX;JACKSONVILLE INTERNATIONAL AIRPORT;JACKSONVILLE/INTL.FL.;;ESTADOS UNIDOS DA AMERICA;AMERICA DO NORTE
